begin,end,distance,angle,xcoord,ycoord,thick_norm,means,sds
6495870.83159939,6511758.35873335,265,317.668246928606,545964.711291234,6497454.8311314,1.0,1445.8,77.81375199795984
6495870.83159939,6511758.35873335,515,317.577661488021,545796.226990274,6497639.52818557,0.9986843853639715,1445.8,77.81375199795984
6495870.83159939,6511758.35873335,765,317.577661487661,545627.579428842,6497824.07628234,0.9932196832303154,1445.8,77.81375199795984
6495870.83159939,6511758.35873335,1015,311.37548622181,545450.353378155,6497999.91037078,0.9828944465857068,1445.8,77.81375199795984
6495870.83159939,6511758.35873335,1265,311.37548622181,545262.754892976,6498165.15808894,0.9892523158816922,1445.8,77.81375199795984
6495870.83159939,6511758.35873335,1515,311.375486217406,545075.156407797,6498330.4058071,0.9956827688860187,1445.8,77.81375199795984
6495870.83159939,6511758.35873335,1765,311.375486217406,544887.557922615,6498495.65352526,0.9704594136835589,1445.8,77.81375199795984
6495870.83159939,6511758.35873335,2015,304.42605979299,544694.315587733,6498653.92793245,0.9748076268503775,1445.8,77.81375199795984
6495870.83159939,6511758.35873335,2265,304.426059793431,544488.101475364,6498795.26349012,0.9617181113993049,1445.8,77.81375199795984
6495870.83159939,6511758.35873335,2515,304.426059788589,544281.887362996,6498936.59904778,0.9879319657042882,1448.21,106.07990337476745
6495870.83159939,6511758.35873335,2765,304.426059793431,544075.673250623,6499077.93460544,0.9773426243269329,1469.02,74.9675903307556
6495870.83159939,6511758.35873335,3015,308.01207843744294,543875.589246613,6499227.72150662,0.9956180306378368,1466.01,65.1644834246386
6495870.83159939,6511758.35873335,3265,308.012078442017,543678.619009259,6499381.67840187,0.9979978345843727,1473.64,69.62564470078536
6495870.83159939,6511758.35873335,3515,313.445720379234,543482.295066157,6499536.38591736,0.9982836426940628,1471.49,67.69985155079736
6495870.83159939,6511758.35873335,3765,314.407477600207,543302.6578443592,6499710.2433927,0.9897732636495199,1449.95,65.06771472858104
6495870.83159939,6511758.35873335,4015,314.407477600627,543124.062504013,6499885.18253757,1.0,1424.07,60.193563609409274
6495870.83159939,6511758.35873335,4265,314.407477600627,542945.4671636729,6500060.12168244,1.0,1393.03,69.93860950862549
6495870.83159939,6511758.35873335,4515,319.297083786636,542773.629507912,6500241.40436506,0.9871283751857887,1370.34,63.856122650846885
6495870.83159939,6511758.35873335,4765,319.297083786743,542610.595260381,6500430.92965132,0.9821455255364329,1331.14,65.63398814638647
6495870.83159939,6511758.35873335,5015,319.297083786636,542447.561012849,6500620.45493758,0.9838097861900333,1315.92,64.8554824205325
6495870.83159939,6511758.35873335,5265,319.29708378704,542284.526765317,6500809.98022384,0.9914135805888543,1324.24,60.220946521953636
6495870.83159939,6511758.35873335,5515,319.297083786636,542121.492517786,6500999.5055101,0.9782103620680902,1329.93,60.19090545921369
6495870.83159939,6511758.35873335,5765,319.297083786636,541958.4582702529,6501189.03079636,0.986802901586861,1351.33,70.54375308983781
6495870.83159939,6511758.35873335,6015,319.297083786636,541795.424022722,6501378.55608262,0.9965980566950061,1404.32,79.68059738731883
6495870.83159939,6511758.35873335,6265,319.297083790464,541632.389775188,6501568.08136888,0.9914479967672404,1425.05,71.67626873659091
6495870.83159939,6511758.35873335,6515,337.605568463006,541473.170898264,6501760.16352535,0.9946026999508715,1431.98,76.34880221719266
6495870.83159939,6511758.35873335,6765,339.568810409759,541379.862632395,6501992.06883987,0.9882145757398259,1430.45,68.4342567724674
6495870.83159939,6511758.35873335,7015,351.327838009648,541334.4480597529,6502237.20684273,0.9236954794030935,1424.06,69.16427112317457
6495870.83159939,6511758.35873335,7265,351.327838009582,541296.752927776,6502484.34865834,0.909740169714334,1407.93,72.66405645159098
6495870.83159939,6511758.35873335,7515,3.2334612179766,541293.231264063,6502733.64756748,0.8633244558472262,1381.87,76.1105321226964
6495870.83159939,6511758.35873335,7765,3.23346121744385,541307.332412377,6502983.2495659,0.8264167864851469,1354.48,60.5997491743984
6495870.83159939,6511758.35873335,8015,3.51525802145483,541321.490555408,6503232.84820381,0.7520061614815441,1327.93,70.37446340825626
6495870.83159939,6511758.35873335,8265,5.65585143967888,541342.837564731,6503481.8951265,0.7762268662051014,1261.78,57.85647414075627
6495870.83159939,6511758.35873335,8515,5.65585144024357,541367.475812846,6503730.67807755,0.7957760731475255,1233.22,58.3874267287059
6495870.83159939,6511758.35873335,8765,5.65585143913408,541392.114060962,6503979.46102859,0.8496345239750874,1210.89,59.63621299177204
6495870.83159939,6511758.35873335,9015,16.5070648520535,541453.777493046,6504221.18966553,0.8761631971535558,1179.41,58.783517247609474
6495870.83159939,6511758.35873335,9265,16.5070648522051,541524.810885483,6504460.8858423,0.9144266419120332,1179.92,48.31597665369085
6495870.83159939,6511758.35873335,9515,28.5029266893917,541598.124851179,6504699.63714172,0.9738437768777786,1185.71,59.5071920023118
6495870.83159939,6511758.35873335,9765,35.0169209127849,541733.174038827,6504909.5862253,0.9479685240390499,1208.01,62.485437503469555
6495870.83159939,6511758.35873335,10015,35.0169209165901,541876.628620822,6505114.33187948,0.966886618641363,1232.92,56.28173415949441
6495870.83159939,6511758.35873335,10265,35.0169209161531,542020.083202819,6505319.077533649,0.945021386027615,1281.77,63.878925319701494
6495870.83159939,6511758.35873335,10515,35.0169209161531,542163.537784816,6505523.82318783,0.9695280715006537,1338.02,66.14257025547164
6495870.83159939,6511758.35873335,10765,35.4978665836545,542307.4241944329,6505728.263572849,0.9945469186938439,1381.28,77.74189089544967
6495870.83159939,6511758.35873335,11015,38.901394282636495,542462.670467463,6505924.14825655,0.9853092941984565,1414.59,70.12632815141542
6495870.83159939,6511758.35873335,11265,38.9013942831037,542619.665966427,6506118.705223289,0.9812304309134569,1437.86,61.09255601135052
6495870.83159939,6511758.35873335,11515,38.9013942831037,542776.66146539,6506313.26219002,0.9916123383532497,1432.49,70.27752058802304
6495870.83159939,6511758.35873335,11765,38.9013942831037,542933.656964354,6506507.81915676,1.0,1422.15,78.21347390315815
6495870.83159939,6511758.35873335,12015,38.9013942831037,543090.652463318,6506702.37612349,0.9740542364237609,1433.09,71.45769307779254
6495870.83159939,6511758.35873335,12265,38.9013942826884,543247.647962282,6506896.93309023,0.9981787404503707,1410.33,71.52077390520883
6495870.83159939,6511758.35873335,12515,38.9013942826884,543404.643461246,6507091.49005696,0.9890410794100852,1425.0,75.32463076577275
6495870.83159939,6511758.35873335,12765,38.9013942831037,543561.63896021,6507286.0470237,1.0,1455.59,67.41722257702405
6495870.83159939,6511758.35873335,13015,38.9013942827686,543718.6344591752,6507480.60399043,1.0,1467.14,78.34551933582418
6495870.83159939,6511758.35873335,13265,38.9013942789505,543875.62995814,6507675.16095716,0.9990376212782464,1495.37,64.61728174412785
6495870.83159939,6511758.35873335,13515,32.4856027893517,544020.730204606,6507878.37913459,0.9917298248882152,1510.58,67.28598368159598
6495870.83159939,6511758.35873335,13765,32.4856027925042,544155.002120878,6508089.26074237,1.0,1502.97,68.72022336983487
6495870.83159939,6511758.35873335,14015,32.4856027925042,544289.2740371489,6508300.14235015,0.997855045720104,1494.6,62.35206492170087
6495870.83159939,6511758.35873335,14265,32.4856027922739,544423.545953424,6508511.02395793,0.9999147563179069,1483.36,66.74856103317883
6495870.83159939,6511758.35873335,14515,32.4856027930106,544557.817869695,6508721.90556571,1.0,1466.51,64.08018336428198
6495870.83159939,6511758.35873335,14765,32.4856027894079,544692.089785968,6508932.78717349,0.9795782137891892,1459.09,82.09861082868576
6495870.83159939,6511758.35873335,15015,32.4856027925605,544826.361702242,6509143.66878127,1.0,1454.93,69.07231789943059
6495870.83159939,6511758.35873335,15265,32.4856027925042,544960.633618513,6509354.55038906,1.0,1457.97,71.96908433487256
6495870.83159939,6511758.35873335,15515,32.4856027922176,545094.905534784,6509565.43199684,0.9850466579654482,1447.47,83.40545006173159
6495870.83159939,6511758.35873335,15765,32.4856027925042,545229.17745106,6509776.31360462,0.993278799050048,1454.6,92.43397643723871
6495870.83159939,6511758.35873335,16015,34.2578252642406,545368.535972123,6509983.85264433,1.0,1466.29,71.30109325950058
6495870.83159939,6511758.35873335,16265,34.2578252642406,545509.265425939,6510190.48086319,0.9874692568534646,1466.29,71.30109325950058
6495870.83159939,6511758.35873335,16515,34.2578252642406,545649.994879755,6510397.10908205,1.0,1466.29,71.30109325950058
6495870.83159939,6511758.35873335,16765,34.2578252612369,545790.724333573,6510603.7373009,1.0,1466.29,71.30109325950058
6495870.83159939,6511758.35873335,17015,41.9175970570462,545943.691937175,6510800.80778821,0.9964961472975444,1466.29,71.30109325950058
6495870.83159939,6511758.35873335,17265,41.9175970609675,546110.707217638,6510986.83438871,0.9936559406048269,1466.29,71.30109325950058
6495870.83159939,6511758.35873335,17515,41.9175970570462,546277.722498099,6511172.8609892,1.0,1466.29,71.30109325950058
6495870.83159939,6511758.35873335,17765,41.9175970574929,546444.737778558,6511358.8875897,1.0,1466.29,71.30109325950058
6495870.83159939,6511758.35873335,18015,41.9175970574929,546611.753059018,6511544.9141902,0.9752090016142592,1466.29,71.30109325950058
6495870.83159939,6511758.35873335,18265,41.9175970610172,546778.76833948,6511730.9407907,0.9770083303948778,1466.29,71.30109325950058
6495870.83159939,6511758.35873335,18515,39.97439624932431,546940.323509324,6511921.70476509,0.9057846524207138,1466.29,71.30109325950058
